IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,,,2025-09-29 21:34:11.434,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,354877970012210,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,2025-09-29 21:34:11.434,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,354877970012210,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-122.3566850,47.1283233,2025-09-29 21:34:12.000,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,,520110,583,-73.900000,,,,24.900000,,,,,,,,,,,,47.127916,-122.356775
4,1,,,-122.3566850,47.1283233,2025-09-29 21:34:13.000,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,,,,,,,,,,,0.000000,,,,,,,,,47.127916,-122.356775
5,1,,,-122.3566850,47.1283233,2025-09-29 21:34:14.000,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,,520110,583,-72.520000,,,,29.760000,,,0.000000,,,,,,,,,47.127916,-122.356775
6,1,,,-122.3566850,47.1283233,2025-09-29 21:34:15.000,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,,520110,583,-72.840000,,,,27.550000,,,0.000000,,,,,,,,,47.127916,-122.356775
7,1,,,-122.3566850,47.1283233,2025-09-29 21:34:16.000,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,,520110,583,-72.990000,,,,27.170000,,,0.000000,,,,,,,,,47.127916,-122.356775
8,1,,,-122.3566850,47.1283233,2025-09-29 21:34:17.000,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,,520110,583,-73.510000,,,,25.670000,,,0.000000,,,,,,,,,47.127916,-122.356775
9,1,,,-122.3566850,47.1283233,2025-09-29 21:34:18.000,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,,,,,,,,,,,0.000000,,,,,,,,,47.127916,-122.356775
10,1,,,-122.3566850,47.1283233,2025-09-29 21:34:19.000,_20250929_143409_CH05_TMO_5G Auto_VoNR Coverage Test_DUT3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,,520110,583,-72.150000,,,,26.000000,,,0.000000,,,,,,,,,47.127916,-122.356775
