IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,-122.3569183,47.1282917,2025-09-29 20:28:37.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-71.220000,,,Rank 1 (RI0),30.320000,,,,,,,,,,,,47.128343,-122.356993
2,1,,,-122.3569183,47.1282917,2025-09-29 20:28:38.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-73.530000,,,Rank 1 (RI0),28.660000,,,0.000000,,,,,,,,,47.128343,-122.356993
3,1,,,-122.3569183,47.1282917,2025-09-29 20:28:39.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-75.780000,,,Rank 1 (RI0),27.110000,,,0.000000,,,,,,,,,47.128343,-122.356993
4,1,,,-122.3569183,47.1282917,2025-09-29 20:28:40.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-76.110000,,,Rank 1 (RI0),26.960000,,,0.000000,,,,,,,,,47.128343,-122.356993
5,1,,,-122.3569183,47.1282917,2025-09-29 20:28:41.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-73.180000,2.000000,,Rank 1 (RI0),28.010000,,2.000000,0.000000,,,,,,,,,47.128343,-122.356993
6,1,,,-122.3569183,47.1282917,2025-09-29 20:28:42.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-71.300000,2.000000,,Rank 1 (RI0),29.940000,,,0.000000,,,,,,,,,47.128343,-122.356993
7,1,,,-122.3569183,47.1282917,2025-09-29 20:28:43.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-70.820000,3.000000,,Rank 1 (RI0),29.470000,,1.000000,0.000000,,,,,,,,,47.128343,-122.356993
8,1,,,-122.3569183,47.1282917,2025-09-29 20:28:44.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-71.110000,,,Rank 1 (RI0),29.730000,,,0.000000,,,,,,,,,47.128343,-122.356993
9,1,,,-122.3569183,47.1282917,2025-09-29 20:28:45.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-72.510000,,,Rank 1 (RI0),29.720000,,,0.000000,,,,,,,,,47.128343,-122.356993
10,1,,,-122.3569183,47.1282917,2025-09-29 20:28:46.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-72.580000,,,Rank 1 (RI0),28.970000,,,0.000000,,,,,,,,,47.128343,-122.356993
11,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.220,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,
12,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.220,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,
13,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.236,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,
14,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41A,520110,583,-72.510000,2.000000,1,Rank 1 (RI0),28.760000,,5.000000,0.000000,15.000000,,,,,,,,47.128343,-122.356993
15,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.486,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,INVITE,,,,,
16,1,,,-122.3569183,47.1282917,2025-09-29 20:28:48.000,_20250929_132833_CH06_TMO_5G Auto_VoNR Coverage Test_REF3 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n41C,520110,583,-75.780000,6.000000,1,Rank 1 (RI0),27.330000,,19.400000,0.000000,12.200000,,,,,,,,47.128343,-122.356993
