[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Longitude,[General] [GPS] Latitude,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [Throughput] Application UL TP,[General] [GPS] Accumulated Distance,[NR5G] [Power] Tx power (Total Actual)
354877970010388,,,,,,,,,
354877970010388,,,,,,,,,
,NR SA,-122.357533,47.129288,583,-72.280000,30.810000,,,0.700000
,NR SA,-122.357533,47.129120,583,-70.990000,30.340000,,0.000000,0.700000
,NR SA,-122.357530,47.128962,583,-63.470000,29.650000,,0.000000,-2.200000
,NR SA,-122.357520,47.128815,583,-64.830000,28.660000,,0.100000,-0.700000
,NR SA,-122.357510,47.128683,583,-66.110000,28.750000,,0.100000,0.400000
,NR SA,-122.357500,47.128567,583,-68.600000,28.210000,,0.100000,-2.900000
,NR SA,-122.357492,47.128468,583,-70.210000,25.350000,,0.100000,-3.900000
,NR SA,-122.357483,47.128387,583,-70.530000,29.300000,,0.100000,-2.100000
,NR SA,-122.357480,47.128323,583,-71.810000,26.410000,,0.100000,-2.300000
,NR SA,-122.357478,47.128275,583,-73.040000,24.820000,,0.100000,-3.800000
,NR SA,-122.357482,47.128250,583,-74.320000,25.940000,,0.100000,-2.900000
,NR SA,-122.357480,47.128228,583,-78.300000,23.430000,,0.100000,-0.900000
,NR SA,-122.357480,47.128228,583,-78.070000,17.000000,,0.100000,3.000000
,NR SA,-122.357478,47.128212,583,-76.310000,15.380000,10.485,0.100000,1.500000
,NR SA,-122.357478,47.128212,583,-74.080000,16.350000,10.485,0.100000,1.500000
,NR SA,-122.357473,47.128203,583,-74.260000,18.880000,9.437,0.100000,0.600000
,NR SA,-122.357475,47.128205,583,-73.030000,18.700000,10.485,0.100000,2.400000
,NR SA,-122.357472,47.128193,583,-77.810000,18.470000,9.437,0.100000,8.600000
,NR SA,-122.357472,47.128193,583,-76.440000,18.800000,10.485,0.100000,4.300000
,NR SA,-122.357422,47.128160,583,-77.940000,19.150000,9.437,0.100000,4.700000
,NR SA,-122.357378,47.128158,583,-81.860000,18.180000,10.485,0.100000,7.600000
,NR SA,-122.357332,47.128173,583,-80.130000,20.760000,9.437,0.100000,7.500000
,NR SA,-122.357292,47.128198,583,-78.720000,20.890000,10.485,0.100000,6.800000
,NR SA,-122.357292,47.128273,583,-81.180000,17.590000,9.437,0.100000,5.700000
,NR SA,-122.357300,47.128363,583,-74.050000,27.130000,10.485,0.200000,4.900000
,NR SA,-122.357323,47.128490,583,-75.240000,24.760000,9.437,0.200000,1.000000
,NR SA,-122.357333,47.128617,583,-72.500000,26.560000,,0.200000,0.900000
,NR SA,-122.357337,47.128758,583,-74.280000,28.740000,,0.200000,2.100000
,NR SA,-122.357338,47.128910,583,-73.640000,27.990000,,0.200000,2.100000
,NR SA,-122.357340,47.129067,583,-70.220000,27.800000,,0.200000,1.000000
,NR SA,-122.357340,47.129233,583,-68.400000,30.810000,,0.300000,4.000000
,NR SA,-122.357338,47.129410,583,-66.440000,29.500000,,0.300000,2.700000
,NR SA,-122.357338,47.129592,583,-75.140000,25.140000,,0.300000,10.500000
,NR SA,-122.357337,47.129780,583,-79.260000,24.100000,,0.300000,8.800000
