IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,-122.3565633,47.1284250,2025-09-29 21:14:56.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,,47.128425,-122.356563,,,,,,,,,,,,,,,,,,,,47.128334,-122.356665
2,1,,,-122.3565633,47.1284250,2025-09-29 21:14:57.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-64.380000,17.300000,1,Rank 2 (RI1),20.030000,6.772407,19.153846,0.000000,11.700000,,,,,,,,47.128334,-122.356665
3,1,,,-122.3565633,47.1284250,2025-09-29 21:14:58.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-64.260000,,,Rank 1 (RI0),20.420000,,,0.000000,,,,,,,,,47.128334,-122.356665
4,1,,,-122.3565633,47.1284250,2025-09-29 21:14:59.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-62.350000,,,Rank 1 (RI0),21.790000,,,0.000000,,,,,,,,,47.128334,-122.356665
5,1,,,-122.3565633,47.1284250,2025-09-29 21:15:00.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-61.610000,,,Rank 1 (RI0),22.540000,,,0.000000,,,,,,,,,47.128334,-122.356665
6,1,,,-122.3565633,47.1284250,2025-09-29 21:15:01.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-61.620000,,,Rank 1 (RI0),22.430000,,,0.000000,,,,,,,,,47.128334,-122.356665
7,1,,,-122.3565633,47.1284250,2025-09-29 21:15:02.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-61.190000,,,Rank 1 (RI0),22.380000,,,0.000000,,,,,,,,,47.128334,-122.356665
8,1,,,-122.3565633,47.1284250,2025-09-29 21:15:03.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-60.420000,,,Rank 1 (RI0),22.290000,,,0.000000,,,,,,,,,47.128334,-122.356665
9,1,,,-122.3565633,47.1284250,2025-09-29 21:15:04.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-59.290000,,1,Rank 1 (RI0),22.980000,,0.000000,0.000000,15.000000,,,,,,,,47.128334,-122.356665
10,1,,,-122.3565633,47.1284250,2025-09-29 21:15:05.000,_20250929_141452_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128425,-122.356563,n71A,125290,587,-60.800000,,1,Rank 1 (RI0),22.440000,,,0.000000,14.000000,,,,,,,,47.128334,-122.356665
