[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Longitude,[General] [GPS] Latitude,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [Throughput] Application UL TP,[General] [GPS] Accumulated Distance,[NR5G] [Power] Tx power (Total Actual)
354877970012210,,,,,,,,,
354877970012210,,,,,,,,,
,NR SA,,,583,-72.810000,27.410000,,,-1.700000
,NR SA,-122.357410,47.128248,583,-72.140000,26.910000,,,-0.300000
,NR SA,-122.357410,47.128248,583,-71.060000,27.660000,,0.000000,-3.600000
,NR SA,-122.357410,47.128248,583,-71.620000,28.440000,,0.000000,-3.800000
,NR SA,-122.357410,47.128248,583,-72.490000,28.170000,,0.000000,-2.900000
,NR SA,-122.357410,47.128248,583,-73.290000,27.860000,,0.000000,-3.800000
,NR SA,-122.357410,47.128248,583,-73.050000,28.300000,,0.000000,-1.000000
,NR SA,-122.357410,47.128248,583,-73.550000,28.120000,,0.000000,-1.400000
,NR SA,-122.357410,47.128248,583,-71.180000,27.100000,,0.000000,-2.500000
,NR SA,-122.357410,47.128248,583,-72.970000,23.640000,,0.000000,-0.900000
,NR SA,-122.357410,47.128248,583,-78.870000,21.290000,,0.000000,1.200000
,NR SA,-122.357430,47.128220,583,-78.890000,23.560000,,0.000000,3.100000
,NR SA,-122.357432,47.128195,583,-78.220000,17.810000,,0.000000,1.500000
,NR SA,-122.357427,47.128158,583,-78.580000,17.620000,10.485,0.000000,4.100000
,NR SA,-122.357407,47.128120,583,-77.700000,15.990000,10.485,0.000000,3.000000
,NR SA,-122.357368,47.128082,583,-80.270000,14.590000,9.437,0.000000,4.500000
,NR SA,-122.357308,47.128047,583,-78.170000,17.420000,10.485,0.000000,4.100000
,NR SA,-122.357232,47.128023,583,-79.140000,19.610000,9.437,0.000000,6.000000
,NR SA,-122.357145,47.128015,583,-78.800000,20.770000,10.485,0.000000,6.800000
,NR SA,-122.357062,47.128015,583,-78.340000,23.010000,9.437,0.000000,5.800000
,NR SA,-122.356975,47.128020,583,-74.860000,25.200000,10.485,0.100000,4.800000
,NR SA,-122.356888,47.128027,583,-76.510000,26.070000,9.437,0.100000,9.100000
,NR SA,-122.356802,47.128038,583,-75.190000,26.800000,10.485,0.100000,7.100000
,NR SA,-122.356727,47.128060,583,-74.980000,27.710000,9.437,0.100000,7.200000
,NR SA,-122.356672,47.128092,583,-74.950000,29.150000,10.485,0.100000,6.000000
,NR SA,-122.356635,47.128125,583,-75.450000,28.640000,9.437,0.100000,4.800000
,NR SA,-122.356627,47.128165,583,-74.920000,28.520000,,0.100000,3.500000
,NR SA,-122.356632,47.128208,583,-70.850000,31.190000,,0.100000,-0.400000
,NR SA,-122.356660,47.128252,583,-72.700000,28.620000,,0.100000,0.800000
,NR SA,-122.356693,47.128297,583,-70.640000,30.100000,,0.100000,-0.100000
,NR SA,-122.356730,47.128343,583,-66.210000,32.050000,,0.100000,-2.100000
,NR SA,-122.356768,47.128392,583,-70.080000,29.990000,,0.100000,3.300000
,NR SA,-122.356800,47.128437,583,-72.930000,32.060000,,0.100000,3.900000
,NR SA,-122.356822,47.128475,583,-70.880000,34.120000,,0.100000,2.200000
,NR SA,-122.356835,47.128507,583,-68.990000,32.860000,,0.100000,2.000000
,NR SA,-122.356842,47.128535,583,-74.950000,28.970000,,0.100000,7.700000
,NR SA,-122.356850,47.128562,583,-76.780000,29.550000,,0.100000,8.300000
,NR SA,-122.356855,47.128592,583,-74.400000,30.600000,10.485,0.100000,7.200000
,NR SA,-122.356862,47.128630,583,-76.420000,27.610000,10.485,0.100000,6.700000
,NR SA,-122.356860,47.128673,583,-74.770000,29.070000,9.437,0.100000,9.500000
,NR SA,-122.356852,47.128718,583,-75.770000,31.080000,10.485,0.200000,10.500000
,NR SA,-122.356845,47.128762,583,-75.570000,30.700000,9.437,0.200000,10.400000
,NR SA,-122.356843,47.128798,583,-75.440000,31.610000,10.485,0.200000,7.400000
,NR SA,-122.356857,47.128827,583,-72.630000,31.610000,9.437,0.200000,6.700000
,NR SA,-122.356880,47.128845,583,-72.170000,31.260000,10.485,0.200000,8.400000
,NR SA,-122.356905,47.128858,583,-73.540000,30.240000,9.437,0.200000,9.400000
,NR SA,-122.356925,47.128868,583,-72.270000,30.090000,10.485,0.200000,9.600000
,NR SA,-122.356938,47.128875,583,-67.580000,31.440000,9.437,0.200000,9.500000
,NR SA,-122.356940,47.128878,583,-66.510000,31.480000,10.485,0.200000,8.900000
,NR SA,-122.356940,47.128882,583,-68.510000,31.600000,9.437,0.200000,7.800000
,NR SA,-122.356940,47.128882,583,-72.160000,32.110000,,0.200000,-2.000000
,NR SA,-122.356937,47.128882,583,-69.820000,32.290000,,0.200000,-3.400000
,NR SA,-122.356927,47.128885,583,-69.930000,31.500000,,0.200000,-4.700000
,NR SA,-122.356912,47.128885,583,-74.540000,31.900000,,0.200000,-1.000000
,NR SA,-122.356895,47.128883,583,-67.880000,32.370000,,0.200000,-3.100000
,NR SA,-122.356882,47.128883,583,-69.700000,29.380000,,0.200000,
,NR SA,-122.356872,47.128885,,,,,0.200000,
,NR SA,-122.356865,47.128887,583,-69.790000,27.600000,,0.200000,
,NR SA,-122.356863,47.128888,583,-69.710000,31.430000,,0.200000,-2.500000
,NR SA,-122.356863,47.128885,583,-68.750000,33.270000,,0.200000,1.600000
,NR SA,-122.356865,47.128877,583,-68.950000,32.580000,10.485,0.200000,5.800000
