[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Longitude,[General] [GPS] Latitude,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [Throughput] Application UL TP,[General] [GPS] Accumulated Distance,[NR5G] [Power] Tx power (Total Actual)
354877970012210,,,,,,,,,
354877970012210,,,,,,,,,
,NR SA,,,583,-71.730000,28.050000,,,-3.600000
,NR SA,-122.357417,47.128405,583,-71.010000,27.460000,,,-3.500000
,NR SA,-122.357417,47.128335,583,-70.010000,25.450000,,0.000000,-4.400000
,NR SA,-122.357420,47.128285,583,-72.070000,27.820000,,0.000000,-2.400000
,NR SA,-122.357423,47.128247,583,-76.190000,22.710000,,0.000000,0.000000
,NR SA,-122.357427,47.128222,583,-76.680000,21.910000,,0.000000,0.500000
,NR SA,-122.357427,47.128212,583,-77.420000,22.670000,,0.000000,1.800000
,NR SA,-122.357428,47.128213,583,-79.610000,20.740000,,0.000000,1.400000
,NR SA,-122.357432,47.128217,583,-79.630000,19.600000,,0.000000,5.000000
,NR SA,-122.357433,47.128218,583,-78.780000,21.620000,,0.000000,5.000000
,NR SA,-122.357433,47.128218,583,-78.120000,21.760000,,0.000000,3.600000
,NR SA,-122.357433,47.128218,583,-79.690000,21.270000,,0.000000,3.900000
,NR SA,-122.357435,47.128212,583,-77.510000,19.810000,,0.000000,4.000000
,NR SA,-122.357423,47.128193,583,-72.660000,21.050000,10.485,0.000000,1.900000
,NR SA,-122.357397,47.128180,583,-76.930000,21.020000,10.485,0.000000,5.300000
,NR SA,-122.357353,47.128175,583,-77.080000,23.190000,9.437,0.000000,5.300000
,NR SA,-122.357305,47.128183,583,-80.520000,22.100000,10.485,0.000000,5.900000
,NR SA,-122.357272,47.128213,583,-76.910000,24.300000,9.437,0.000000,5.300000
,NR SA,-122.357248,47.128258,583,-76.080000,23.990000,10.485,0.000000,4.800000
,NR SA,-122.357242,47.128338,583,-73.810000,25.020000,9.437,0.100000,4.800000
,NR SA,-122.357248,47.128435,583,-75.520000,25.670000,10.485,0.100000,5.900000
,NR SA,-122.357273,47.128552,583,-77.660000,27.420000,9.437,0.100000,10.100000
,NR SA,-122.357293,47.128670,583,-75.450000,28.230000,10.485,0.100000,9.200000
,NR SA,-122.357318,47.128798,583,-75.330000,26.670000,9.437,0.100000,10.400000
,NR SA,-122.357340,47.128933,583,-75.850000,27.910000,10.485,0.100000,8.400000
,NR SA,-122.357350,47.129063,583,-73.770000,29.640000,9.437,0.100000,1.800000
,NR SA,-122.357352,47.129198,583,-74.620000,28.620000,,0.100000,1.800000
,NR SA,-122.357355,47.129342,583,-78.040000,24.780000,,0.200000,11.100000
,NR SA,-122.357357,47.129490,583,-83.750000,22.480000,,0.200000,9.700000
,NR SA,-122.357355,47.129638,583,-81.060000,22.930000,,0.200000,8.700000
,NR SA,-122.357352,47.129793,583,-80.860000,24.750000,,0.200000,9.200000
,NR SA,-122.357353,47.129952,583,-81.630000,25.800000,,0.200000,7.600000
,NR SA,-122.357353,47.130112,583,-79.620000,25.010000,,0.300000,8.700000
,NR SA,-122.357350,47.130278,583,-78.780000,24.560000,,0.300000,10.700000
,NR SA,-122.357352,47.130442,583,-80.640000,24.300000,,0.300000,9.400000
,NR SA,-122.357348,47.130603,583,-79.240000,22.680000,,0.300000,10.000000
,NR SA,-122.357347,47.130757,583,-79.200000,24.920000,10.485,0.300000,15.400000
,NR SA,-122.357347,47.130902,583,-80.170000,23.800000,10.485,0.300000,14.800000
,NR SA,-122.357350,47.131032,583,-78.950000,24.780000,9.437,0.400000,14.400000
,NR SA,-122.357350,47.131155,583,-78.220000,25.080000,10.485,0.400000,15.300000
,NR SA,-122.357353,47.131273,583,-75.970000,28.390000,9.437,0.400000,15.000000
,NR SA,-122.357357,47.131385,583,-76.560000,27.100000,10.485,0.400000,14.700000
,NR SA,-122.357357,47.131490,583,-76.900000,27.720000,9.437,0.400000,15.600000
,NR SA,-122.357358,47.131588,583,-76.000000,28.180000,10.485,0.400000,13.900000
,NR SA,-122.357357,47.131678,583,-76.910000,27.270000,9.437,0.400000,15.100000
,NR SA,-122.357358,47.131760,583,-76.830000,28.260000,10.485,0.400000,14.500000
,NR SA,-122.357360,47.131838,583,-75.400000,29.150000,9.437,0.400000,13.600000
,NR SA,-122.357358,47.131910,583,-74.920000,29.520000,10.485,0.500000,13.600000
,NR SA,-122.357357,47.131975,583,-74.870000,29.440000,9.437,0.500000,12.700000
,NR SA,-122.357353,47.132032,583,-76.370000,28.170000,,0.500000,13.000000
,NR SA,-122.357353,47.132082,583,-77.810000,26.780000,,0.500000,11.300000
,NR SA,-122.357352,47.132122,583,-77.770000,27.570000,,0.500000,11.900000
,NR SA,-122.357355,47.132165,583,-77.530000,29.300000,,0.500000,11.400000
,NR SA,-122.357355,47.132207,583,-79.350000,29.360000,,0.500000,11.800000
,NR SA,-122.357352,47.132258,583,-78.170000,26.170000,,0.500000,13.000000
,NR SA,-122.357348,47.132322,583,-76.500000,29.200000,,0.500000,10.100000
,NR SA,-122.357340,47.132400,583,-77.120000,26.430000,,0.500000,10.700000
,NR SA,-122.357333,47.132485,583,-79.150000,26.220000,,0.500000,11.000000
,NR SA,-122.357320,47.132583,583,-75.620000,29.110000,,0.500000,7.500000
,NR SA,-122.357318,47.132707,583,-74.290000,29.970000,,0.500000,13.700000
,NR SA,-122.357328,47.132895,583,-75.260000,30.290000,10.485,0.600000,13.400000
