IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,-122.3566800,47.1283500,2025-09-29 20:58:56.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-74.840000,,,Rank 2 (RI1),16.040000,,,,,,,,,,,,47.128314,-122.356685
2,1,,,-122.3566800,47.1283500,2025-09-29 20:58:57.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-77.630000,,,Rank 1 (RI0),16.230000,,,0.000000,,,,,,,,,47.128314,-122.356685
3,1,,,-122.3566800,47.1283500,2025-09-29 20:58:58.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-79.030000,,,Rank 1 (RI0),16.690000,,,0.000000,,,,,,,,,47.128314,-122.356684
4,1,,,-122.3566800,47.1283500,2025-09-29 20:58:59.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-78.400000,,,Rank 1 (RI0),20.100000,,,0.000000,,,,,,,,,47.128314,-122.356684
5,1,,,-122.3566800,47.1283500,2025-09-29 20:59:00.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-78.380000,,,Rank 1 (RI0),20.320000,,,0.000000,,,,,,,,,47.128314,-122.356684
6,1,,,-122.3566800,47.1283500,2025-09-29 20:59:01.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-78.460000,,,Rank 1 (RI0),17.940000,,,0.000000,,,,,,,,,47.128314,-122.356684
7,1,,,-122.3566800,47.1283500,2025-09-29 20:59:02.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-77.290000,,,Rank 1 (RI0),20.510000,,,0.000000,,,,,,,,,47.128314,-122.356684
8,1,,,-122.3566800,47.1283500,2025-09-29 20:59:03.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-77.420000,,,Rank 1 (RI0),19.700000,,,0.000000,,,,,,,,,47.128314,-122.356684
9,1,,,-122.3566800,47.1283500,2025-09-29 20:59:04.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-79.380000,,,Rank 1 (RI0),17.370000,,,0.000000,,,,,,,,,47.128314,-122.356684
10,1,,,-122.3566800,47.1283500,2025-09-29 20:59:05.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-79.960000,,,Rank 1 (RI0),16.610000,,,0.000000,,,,,,,,,47.128314,-122.356684
11,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-80.450000,,,Rank 1 (RI0),14.780000,,,0.000000,,,,,,,,,47.128314,-122.356684
12,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.375,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,
13,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.375,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,
14,1,,,-122.3566800,47.1283500,2025-09-29 20:59:06.390,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,
15,1,,,-122.3566800,47.1283500,2025-09-29 20:59:07.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-77.100000,6.000000,1,Rank 1 (RI0),21.180000,,10.700000,0.000000,15.000000,,,,,,,,47.128314,-122.356684
16,1,,,-122.3566800,47.1283500,2025-09-29 20:59:07.099,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,INVITE,,,,,
17,1,,,-122.3566800,47.1283500,2025-09-29 20:59:08.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-76.730000,14.900000,2,Rank 2 (RI1),17.330000,7.034921,21.534202,0.000000,13.700000,,,,,,,,47.128313,-122.356682
18,1,,,-122.3566800,47.1283500,2025-09-29 20:59:08.189,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,200 OK,,,,
19,1,,,-122.3566800,47.1283500,2025-09-29 20:59:08.375,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,
20,1,,,-122.3566800,47.1283500,2025-09-29 20:59:09.000,_20250929_135852_CH04_TMO_5G Auto_VoNR Coverage Test_REF2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,n25A,396970,592,-78.840000,17.100000,3,Rank 3 (RI2),16.440000,2.359429,22.040100,0.000000,11.800000,10.485,10.485,,,,,,47.128311,-122.356677
