IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,,,2025-09-29 20:28:36.316,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,354877970010388,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,2025-09-29 20:28:36.316,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,354877970010388,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,2025-09-29 20:28:37.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,,,,396970,592,-77.600000,,,Rank 2 (RI1),22.460000,,,,11.200000,,,,,,,,47.128281,-122.356901
4,1,,,-122.3569183,47.1282917,2025-09-29 20:28:38.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-81.110000,,,Rank 2 (RI1),22.380000,,,,11.300000,,,,,,,,47.128281,-122.356901
5,1,,,-122.3569183,47.1282917,2025-09-29 20:28:39.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-77.790000,,,Rank 2 (RI1),20.940000,,,0.000000,12.300000,,,,,,,,47.128281,-122.356901
6,1,,,-122.3569183,47.1282917,2025-09-29 20:28:40.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-77.450000,,,Rank 2 (RI1),19.390000,,,0.000000,12.000000,,,,,,,,47.128281,-122.356901
7,1,,,-122.3569183,47.1282917,2025-09-29 20:28:41.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-76.420000,,,Rank 2 (RI1),21.800000,,,0.000000,9.700000,,,,,,,,47.128281,-122.356901
8,1,,,-122.3569183,47.1282917,2025-09-29 20:28:42.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-77.120000,12.700000,2,Rank 2 (RI1),22.840000,0.000000,22.071429,0.000000,9.500000,,,,,,,,47.128281,-122.356901
9,1,,,-122.3569183,47.1282917,2025-09-29 20:28:43.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-76.350000,,,Rank 2 (RI1),23.660000,,,0.000000,9.000000,,,,,,,,47.128281,-122.356901
10,1,,,-122.3569183,47.1282917,2025-09-29 20:28:44.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-78.670000,,,Rank 2 (RI1),23.190000,,,0.000000,9.300000,,,,,,,,47.128281,-122.356901
11,1,,,-122.3569183,47.1282917,2025-09-29 20:28:45.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-79.020000,,,Rank 2 (RI1),21.280000,,,0.000000,10.500000,,,,,,,,47.128281,-122.356901
12,1,,,-122.3569183,47.1282917,2025-09-29 20:28:46.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,396970,592,-78.580000,,,Rank 2 (RI1),22.690000,,,0.000000,13.000000,,,,,,,,47.128281,-122.356901
13,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n25A,396970,592,-79.570000,11.700000,2,Rank 2 (RI1),23.000000,0.000000,0.000000,0.000000,11.200000,,,,,,,,47.128281,-122.356901
14,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.390,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,
15,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.390,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,
16,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.406,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,
17,1,,,-122.3569183,47.1282917,2025-09-29 20:28:48.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n25A,396970,592,-81.200000,,,,14.710000,,,0.000000,,,,,,,,,47.128281,-122.356901
18,1,,,-122.3569183,47.1282917,2025-09-29 20:28:48.576,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,INVITE,,,,,
19,1,,,-122.3569183,47.1282917,2025-09-29 20:28:48.806,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,100 Trying,,,,
20,1,,,-122.3569183,47.1282917,2025-09-29 20:28:49.000,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n25A,396970,592,-81.150000,11.500000,3,Rank 3 (RI2),23.600000,0.021487,21.712230,0.000000,12.300000,,,,,,,,47.128281,-122.356901
21,1,,,-122.3569183,47.1282917,2025-09-29 20:28:49.044,_20250929_132833_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,180 Ringing,,,,
