IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,,,2025-09-29 20:58:55.344,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,354877970010388,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,2025-09-29 20:58:55.344,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,354877970010388,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,2025-09-29 20:58:56.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,,,,396970,592,-77.600000,,,Rank 2 (RI1),20.370000,,,,13.600000,,,,,,,,47.128331,-122.356690
4,1,,,-122.3566800,47.1283500,2025-09-29 20:58:57.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-78.390000,,,Rank 2 (RI1),20.470000,,,,12.300000,,,,,,,,47.128331,-122.356690
5,1,,,-122.3566800,47.1283500,2025-09-29 20:58:58.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-77.870000,,,Rank 2 (RI1),19.820000,,,0.000000,12.800000,,,,,,,,47.128331,-122.356690
6,1,,,-122.3566800,47.1283500,2025-09-29 20:58:59.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-73.920000,,,Rank 2 (RI1),19.740000,,,0.000000,11.500000,,,,,,,,47.128331,-122.356690
7,1,,,-122.3566800,47.1283500,2025-09-29 20:59:00.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-76.810000,,,Rank 2 (RI1),19.070000,,,0.000000,13.400000,,,,,,,,47.128331,-122.356690
8,1,,,-122.3566800,47.1283500,2025-09-29 20:59:01.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-79.110000,17.100000,2,Rank 2 (RI1),16.930000,3.510184,21.833333,0.000000,12.000000,,,,,,,,47.128331,-122.356690
9,1,,,-122.3566800,47.1283500,2025-09-29 20:59:02.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-73.130000,16.700000,2,Rank 2 (RI1),18.760000,0.000000,22.916667,0.000000,11.700000,,,,,,,,47.128331,-122.356690
10,1,,,-122.3566800,47.1283500,2025-09-29 20:59:03.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-73.320000,,,Rank 2 (RI1),19.030000,,,0.000000,12.000000,,,,,,,,47.128331,-122.356690
11,1,,,-122.3566800,47.1283500,2025-09-29 20:59:04.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-73.490000,,,Rank 2 (RI1),19.770000,,,0.000000,11.600000,,,,,,,,47.128331,-122.356690
12,1,,,-122.3566800,47.1283500,2025-09-29 20:59:05.000,_20250929_135852_CH03_TMO_5G Auto_VoNR Coverage Test_DUT2 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128350,-122.356680,,396970,592,-72.400000,,,Rank 2 (RI1),20.570000,,,0.000000,11.700000,,,,,,,,47.128331,-122.356690
